slice_id,service,start_ms,n,delta,prefill_chunk,cache_cap,bucket_budget,admit_window,fcfs_lat,fcfs_ttft,sjf_lat,sjf_ttft,milp_incumbent,milp_bound,milp_gap,milp_status,solve_s,binvars,warm_applied
conv_r0.1_o48_n400,conv,542880000,400,8,2048,60000,4000,292,32771,26860,20687,14776,20687.0,14319.0,0.3078261710252816,Time limit reached,2806.4,117200,True
conv_r0.5_o12_n400,conv,191520000,400,8,2048,60000,4000,313,35043,29544,24402,18903,24402.0,16762.0,0.31308909105811,Time limit reached,3302.1,125600,True
conv_r0.5_o48_n400,conv,193680000,400,8,2048,60000,4000,406,47354,40731,34142,27519,34142.0,23332.0,0.31661882725089335,Time limit reached,4428.9,162800,True
conv_r0.7_o48_n400,conv,287280000,400,8,2048,60000,4000,313,35269,29728,29204,23663,29204.0,19783.0,0.3225927955074647,Time limit reached,3410.6,125600,True
conv_r0.9_o24_n400,conv,145440000,400,8,2048,60000,4000,235,35251,30433,26247,21429,26247.0,16922.0,0.3552786985179259,Time limit reached,2686.1,94400,True
code_r0.1_o48_n400,code,467280000,400,8,2048,60000,4000,164,15341,13967,17575,16201,15341.0,10409.0,0.321491428198944,Time limit reached,2086.6,66000,True
code_r0.3_o24_n400,code,138240000,400,8,2048,60000,4000,276,19431,18356,19288,18213,17183.0,11160.0,0.3505208636442996,Time limit reached,2831.3,110800,True
code_r0.3_o48_n400,code,139680000,400,8,2048,60000,4000,150,11551,10222,12545,11216,11551.0,7621.0,0.34023028309237296,Time limit reached,2097.9,60400,True
