slice_id,service,start_ms,n,delta,prefill_chunk,cache_cap,bucket_budget,admit_window,fcfs_lat,fcfs_ttft,sjf_lat,sjf_ttft,milp_incumbent,milp_bound,milp_gap,milp_status,solve_s,binvars,warm_applied
conv_r0.3_o0_n200_d16,conv,46800000,200,16,4096,60000,8000,150,7600,5691,4691,2782,4161.999999999223,3680.0,0.11580970687153129,Time limit reached,933.5,30200,True
conv_r0.3_o20_n200_d16,conv,48000000,200,16,4096,60000,8000,150,5455,3992,4010,2547,3265.0,2946.0,0.09770290964777947,Time limit reached,934.5,30200,True
conv_r0.6_o0_n200_d16,conv,93600000,200,16,4096,60000,8000,150,7639,5934,5103,3398,4237.0,3647.0,0.13924946896388954,Time limit reached,937.1,30200,True
conv_r0.6_o20_n200_d16,conv,94800000,200,16,4096,60000,8000,150,6992,5537,4662,3207,3595.0,3274.0,0.08929068150208623,Time limit reached,936.3,30200,True
conv_r0.9_o0_n200_d16,conv,144000000,200,16,4096,60000,8000,150,5398,3884,4509,2995,3622.0,3419.0,0.05604638321369409,Time limit reached,935.9,30200,True
conv_r0.9_o20_n200_d16,conv,145200000,200,16,4096,60000,8000,150,4411,3256,4068,2913,2991.0,2849.0,0.04747576061517887,Time limit reached,933.6,30200,True
