slice_id,service,start_ms,n,delta,prefill_chunk,cache_cap,bucket_budget,admit_window,fcfs_lat,fcfs_ttft,sjf_lat,sjf_ttft,milp_incumbent,milp_bound,milp_gap,milp_status,solve_s,binvars,warm_applied
conv_r0.3_o0_n200_d4,conv,46800000,200,4,1024,60000,2000,367,22756,15453,18727,11424,18727.0,14298.0,0.2365034442249159,Time limit reached,1204.8,73600,True
conv_r0.3_o20_n200_d4,conv,48000000,200,4,1024,60000,2000,266,15479,9976,15081,9578,14136.000000007421,11509.0,0.18583757781593394,Time limit reached,1016.0,53400,True
conv_r0.6_o0_n200_d4,conv,93600000,200,4,1024,60000,2000,369,23161,16666,19095,12600,19095.0,14821.0,0.22382822728462948,Time limit reached,1175.5,74000,True
conv_r0.6_o20_n200_d4,conv,94800000,200,4,1024,60000,2000,311,20204,14723,17073,11592,16121.00000011437,13577.0,0.15780658768663994,Time limit reached,1072.5,62400,True
conv_r0.9_o0_n200_d4,conv,144000000,200,4,1024,60000,2000,244,17109,11394,16659,10944,16659.0,13404.0,0.19538987934449847,Time limit reached,1007.7,49000,True
conv_r0.9_o20_n200_d4,conv,145200000,200,4,1024,60000,2000,251,15884,11605,15632,11353,13725.999999946182,12012.0,0.12487250473210709,Time limit reached,994.5,50400,True
